job_id,service_type,price,material_cost,labor_cost,travel_cost,service_profit
1000,Roof Cleaning,800,80.0,179.93,22.02,518.05
1001,Roof Cleaning,550,55.0,195.49,26.65,272.86
1002,Driveway Cleaning,350,38.21,95.64,20.5,195.65
1003,Roof Cleaning,700,70.0,141.78,12.79,475.43
1004,Window Cleaning,450,13.5,118.41,25.7,292.39
1005,House Wash,300,44.23,194.84,26.17,34.76
1006,Paver Sealing,3000,1200.0,116.02,12.44,1671.54
1006,Roof Cleaning,1000,100.0,55.16,28.19,816.65
1007,Driveway Cleaning,200,23.12,128.01,20.93,27.94
1007,Patio/Pool Deck Cleaning,500,74.24,166.27,28.79,230.7
1008,Paver Sealing,1900,760.0,188.28,11.77,939.95
1008,Paver Sealing,1600,640.0,56.78,16.51,886.71
1009,Roof Cleaning,800,80.0,61.18,29.74,629.08
1009,Roof Cleaning,1100,110.0,79.81,10.11,900.08
1009,Roof Cleaning,1600,160.0,156.03,24.58,1259.39
1010,Roof Cleaning,950,95.0,103.77,12.32,738.91
1011,Paver Sealing,2400,960.0,99.63,11.27,1329.1
1011,Roof Cleaning,650,65.0,98.78,24.59,461.63
1012,Paver Sealing,2000,800.0,120.83,12.39,1066.78
1012,Paver Sealing,1200,480.0,164.12,21.23,534.65
1012,Paver Sealing,1000,400.0,124.07,20.45,455.48
1013,Driveway Cleaning,350,36.89,54.71,22.73,235.67
1014,Solar Panel Cleaning,500,15.0,74.18,28.59,382.23
1015,Paver Sealing,1600,640.0,180.72,26.07,753.21
1015,Driveway Cleaning,300,43.39,130.9,26.15,99.56
1016,Driveway Cleaning,450,47.48,84.19,18.54,299.79
1017,Roof Cleaning,900,90.0,51.04,20.21,738.75
1017,Patio/Pool Deck Cleaning,400,44.44,67.98,16.75,270.83
1017,House Wash,400,46.46,127.82,24.06,201.66
1018,Paver Sealing,1100,440.0,194.37,15.04,450.59
1018,Window Cleaning,400,12.0,95.13,15.7,277.17
1018,Roof Cleaning,800,80.0,141.43,20.05,558.52
1019,Patio/Pool Deck Cleaning,500,72.71,85.93,12.9,328.46
1020,Window Cleaning,300,9.0,130.37,11.81,148.82
1020,Roof Cleaning,1200,120.0,98.12,13.73,968.15
1021,Paver Sealing,1900,760.0,151.63,10.33,978.04
1021,Paver Sealing,2800,1120.0,83.97,22.9,1573.13
1022,House Wash,450,53.7,190.51,12.75,193.04
1022,House Wash,300,31.7,188.7,27.55,52.05
1023,Window Cleaning,450,13.5,172.58,21.1,242.82
1023,Roof Cleaning,800,80.0,86.28,11.86,621.86
1024,Driveway Cleaning,400,52.66,100.85,16.98,229.51
1024,House Wash,450,65.18,183.06,25.6,176.16
1024,Driveway Cleaning,500,52.1,74.24,27.97,345.69
1025,Paver Sealing,2400,960.0,65.22,23.27,1351.51
1026,Paver Sealing,1100,440.0,132.31,23.84,503.85
1027,Roof Cleaning,1300,130.0,148.64,21.37,999.99
1027,Roof Cleaning,550,55.0,105.16,15.3,374.54
1027,Paver Sealing,3000,1200.0,195.95,17.86,1586.19
1028,Window Cleaning,350,10.5,146.77,23.38,169.35
1029,Paver Sealing,900,360.0,124.88,21.44,393.68
1030,Driveway Cleaning,350,52.4,120.49,15.59,161.52
1031,House Wash,650,75.75,132.91,21.45,419.89
1031,Roof Cleaning,900,90.0,61.3,16.11,732.59
1031,Roof Cleaning,500,50.0,90.27,19.71,340.02
1032,Roof Cleaning,1400,140.0,103.8,15.08,1141.12
1032,Paver Sealing,2800,1120.0,98.38,26.97,1554.65
1033,Roof Cleaning,550,55.0,94.48,18.4,382.12
1033,House Wash,450,58.76,62.24,10.1,318.9
1034,Roof Cleaning,550,55.0,60.64,17.94,416.42
1035,Roof Cleaning,950,95.0,106.34,11.88,736.78
1036,Window Cleaning,250,7.5,54.58,10.75,177.17
1036,Roof Cleaning,600,60.0,104.03,12.54,423.43
1037,Paver Sealing,1000,400.0,82.37,22.46,495.17
1037,Patio/Pool Deck Cleaning,300,30.78,129.7,20.81,118.71
1038,Solar Panel Cleaning,450,13.5,196.38,20.33,219.79
1038,Paver Sealing,3000,1200.0,169.28,15.42,1615.3
1039,Roof Cleaning,600,60.0,58.73,28.3,452.97
1039,Patio/Pool Deck Cleaning,450,50.4,64.08,13.66,321.86
1040,Roof Cleaning,850,85.0,73.8,12.4,678.8
1040,Paver Sealing,1600,640.0,63.77,11.88,884.35
1041,Paver Sealing,1200,480.0,76.3,10.34,633.36
1041,House Wash,500,70.17,101.95,19.29,308.59
1041,Roof Cleaning,1300,130.0,57.21,28.98,1083.81
1042,Window Cleaning,300,9.0,52.3,28.67,210.03
1043,Roof Cleaning,1000,100.0,152.59,22.32,725.09
1043,Patio/Pool Deck Cleaning,500,73.61,180.08,22.73,223.58
1044,House Wash,550,70.77,69.28,26.22,383.73
1044,Driveway Cleaning,500,65.65,173.06,23.03,238.26
1045,Roof Cleaning,700,70.0,60.68,16.38,552.94
1045,Solar Panel Cleaning,500,15.0,53.49,26.29,405.22
1046,Window Cleaning,500,15.0,154.51,22.58,307.91
1047,Driveway Cleaning,200,28.03,92.31,13.55,66.11
1047,Paver Sealing,900,360.0,171.03,29.81,339.16
1048,Patio/Pool Deck Cleaning,500,62.63,173.97,16.4,247.0
1048,Roof Cleaning,450,45.0,108.38,10.22,286.4
1048,House Wash,600,62.74,97.9,29.0,410.36
1049,Paver Sealing,3000,1200.0,144.78,18.97,1636.25
1049,Paver Sealing,800,320.0,99.3,23.45,357.25
1050,Window Cleaning,400,12.0,168.44,11.82,207.74
1050,Roof Cleaning,1200,120.0,58.63,20.99,1000.38
1051,Solar Panel Cleaning,200,6.0,102.64,12.34,79.02
1051,Paver Sealing,1400,560.0,164.23,22.36,653.41
1051,Roof Cleaning,1200,120.0,62.62,24.02,993.36
1052,Window Cleaning,700,21.0,155.94,11.63,511.43
1052,Roof Cleaning,1200,120.0,198.0,17.49,864.51
1052,Roof Cleaning,950,95.0,171.92,28.94,654.14
1053,Paver Sealing,1700,680.0,106.44,11.67,901.89
1053,House Wash,550,70.36,113.63,28.13,337.88
1054,Paver Sealing,2000,800.0,51.7,19.37,1128.93
1055,Paver Sealing,3000,1200.0,67.63,22.98,1709.39
1056,House Wash,550,56.19,183.67,20.55,289.59
1056,Paver Sealing,2400,960.0,61.07,21.08,1357.85
1056,House Wash,700,88.31,144.41,23.91,443.37
1057,Roof Cleaning,950,95.0,137.65,28.02,689.33
1057,Roof Cleaning,800,80.0,92.14,29.01,598.85
1058,Roof Cleaning,1400,140.0,143.02,15.55,1101.43
1059,Patio/Pool Deck Cleaning,400,47.07,137.55,11.55,203.83
1060,Roof Cleaning,450,45.0,154.72,20.72,229.56
1060,Patio/Pool Deck Cleaning,500,70.34,152.71,13.25,263.7
1060,Driveway Cleaning,200,28.23,192.47,24.51,-45.21
1061,Roof Cleaning,600,60.0,189.91,27.32,322.77
1062,House Wash,550,65.35,171.58,29.75,283.32
1063,Paver Sealing,1300,520.0,171.94,29.99,578.07
1063,Driveway Cleaning,350,44.72,165.35,28.9,111.03
1063,Paver Sealing,1500,600.0,87.1,19.01,793.89
1064,Roof Cleaning,550,55.0,140.93,14.57,339.5
1064,Driveway Cleaning,250,32.73,103.72,12.27,101.28
1064,Roof Cleaning,950,95.0,128.05,25.45,701.5
1065,Roof Cleaning,750,75.0,132.79,21.22,520.99
1065,Roof Cleaning,1200,120.0,110.52,12.68,956.8
1065,Paver Sealing,2400,960.0,163.27,22.41,1254.32
1066,House Wash,300,39.26,197.07,22.16,41.51
1066,Patio/Pool Deck Cleaning,500,63.87,63.65,24.53,347.95
1066,House Wash,650,79.65,186.57,15.96,367.82
1067,Patio/Pool Deck Cleaning,500,69.91,118.9,26.84,284.35
1067,Paver Sealing,3000,1200.0,59.94,10.92,1729.14
1068,Paver Sealing,800,320.0,81.37,21.59,377.04
1069,Patio/Pool Deck Cleaning,250,30.75,137.71,18.01,63.53
1069,Solar Panel Cleaning,400,12.0,77.01,23.93,287.06
1070,Paver Sealing,2400,960.0,127.29,29.46,1283.25
1070,Roof Cleaning,850,85.0,83.58,26.44,654.98
1070,Paver Sealing,1400,560.0,102.14,10.64,727.22
1071,Window Cleaning,500,15.0,122.17,23.76,339.07
1072,Paver Sealing,1900,760.0,106.59,10.05,1023.36
1073,Window Cleaning,350,10.5,139.59,29.73,170.18
1074,House Wash,450,50.31,163.99,20.63,215.07
1074,Paver Sealing,1600,640.0,59.35,12.95,887.7
1074,Driveway Cleaning,250,33.59,176.67,24.99,14.75
1075,Roof Cleaning,900,90.0,103.12,17.94,688.94
1075,Roof Cleaning,450,45.0,160.61,13.65,230.74
1075,Window Cleaning,650,19.5,176.11,11.78,442.61
1076,Driveway Cleaning,200,27.37,133.66,21.73,17.24
1076,House Wash,450,53.52,100.62,27.99,267.87
1077,House Wash,350,51.34,51.13,14.51,233.02
1078,House Wash,350,49.89,63.18,26.12,210.81
1079,Patio/Pool Deck Cleaning,200,20.52,52.74,23.94,102.8
1079,Paver Sealing,1900,760.0,184.49,21.52,933.99
1079,House Wash,650,65.17,196.26,19.81,368.76
1080,Window Cleaning,550,16.5,157.77,20.7,355.03
1080,Paver Sealing,1600,640.0,175.79,14.1,770.11
1080,Paver Sealing,1500,600.0,156.64,13.99,729.37
1081,House Wash,600,71.08,118.14,20.97,389.81
1081,Paver Sealing,2600,1040.0,80.26,23.69,1456.05
1082,Paver Sealing,1600,640.0,50.41,12.33,897.26
1083,Paver Sealing,3000,1200.0,169.14,12.13,1618.73
1083,Driveway Cleaning,450,61.78,111.28,28.66,248.28
1084,Roof Cleaning,900,90.0,106.88,28.53,674.59
1085,House Wash,650,90.4,174.19,25.01,360.4
1086,House Wash,550,77.4,149.78,20.46,302.36
1087,Roof Cleaning,750,75.0,125.41,14.64,534.95
1087,Paver Sealing,3000,1200.0,107.58,20.87,1671.55
1088,House Wash,700,74.09,190.97,22.55,412.39
1088,House Wash,350,37.44,169.1,22.4,121.06
1089,Driveway Cleaning,250,34.86,72.75,16.23,126.16
1089,Roof Cleaning,500,50.0,161.59,10.67,277.74
1089,House Wash,400,55.25,181.51,16.84,146.4
1090,Roof Cleaning,900,90.0,176.97,12.55,620.48
1091,Roof Cleaning,1400,140.0,72.49,14.59,1172.92
1091,Roof Cleaning,550,55.0,158.01,22.82,314.17
1092,Patio/Pool Deck Cleaning,300,33.78,101.85,13.63,150.74
1092,Roof Cleaning,800,80.0,137.51,18.02,564.47
1093,Driveway Cleaning,250,36.65,134.77,23.93,54.65
1093,Driveway Cleaning,350,47.38,72.88,21.53,208.21
1093,Paver Sealing,2400,960.0,113.62,24.73,1301.65
1094,House Wash,350,42.89,66.99,29.7,210.42
1094,Window Cleaning,350,10.5,68.7,28.42,242.38
1094,House Wash,500,62.97,138.69,17.98,280.36
1095,Roof Cleaning,1200,120.0,170.43,10.09,899.48
1096,Roof Cleaning,900,90.0,130.61,28.4,650.99
1097,Window Cleaning,700,21.0,160.63,19.04,499.33
1098,Paver Sealing,1200,480.0,187.23,17.25,515.52
1099,Driveway Cleaning,400,40.26,149.53,13.56,196.65
1099,Driveway Cleaning,400,42.97,112.19,11.71,233.13
1100,House Wash,500,64.88,60.06,25.0,350.06
1100,Paver Sealing,2600,1040.0,184.71,14.1,1361.19
1101,House Wash,300,36.8,128.66,18.82,115.72
1101,Roof Cleaning,450,45.0,133.95,13.1,257.95
1102,Roof Cleaning,1500,150.0,191.92,17.47,1140.61
1102,House Wash,500,66.1,111.31,10.51,312.08
1102,Roof Cleaning,1200,120.0,157.4,23.18,899.42
1103,Paver Sealing,1800,720.0,84.66,23.44,971.9
1104,Paver Sealing,2000,800.0,86.48,24.45,1089.07
1105,Roof Cleaning,1100,110.0,109.58,23.36,857.06
1105,Patio/Pool Deck Cleaning,500,57.33,184.45,10.26,247.96
1105,Solar Panel Cleaning,450,13.5,81.18,10.53,344.79
1106,Paver Sealing,2600,1040.0,113.21,27.85,1418.94
1106,House Wash,300,35.13,88.91,17.59,158.37
1107,House Wash,350,45.92,111.41,21.04,171.63
1108,Paver Sealing,800,320.0,90.3,20.83,368.87
1109,Window Cleaning,550,16.5,146.76,18.43,368.31
1110,Driveway Cleaning,400,53.82,152.48,26.45,167.25
1110,Driveway Cleaning,350,49.26,124.71,11.34,164.69
1110,Patio/Pool Deck Cleaning,350,43.71,158.03,12.13,136.13
1111,Window Cleaning,600,18.0,89.97,24.64,467.39
1112,Driveway Cleaning,350,43.65,135.99,26.76,143.6
1112,Paver Sealing,2800,1120.0,165.64,18.44,1495.92
1113,Patio/Pool Deck Cleaning,400,43.69,63.55,25.42,267.34
1113,Solar Panel Cleaning,350,10.5,175.56,18.74,145.2
1113,Patio/Pool Deck Cleaning,350,47.63,141.56,28.99,131.82
1114,Paver Sealing,2400,960.0,70.25,19.68,1350.07
1114,Window Cleaning,350,10.5,130.98,13.24,195.28
1114,Solar Panel Cleaning,250,7.5,176.96,29.1,36.44
1115,Driveway Cleaning,450,55.67,101.66,17.03,275.64
1115,Window Cleaning,500,15.0,155.74,21.97,307.29
1116,Roof Cleaning,1500,150.0,195.15,10.11,1144.74
